fw,id,name,tr_n,tr_pf,tr_mean,tr_t,va_n,va_pf,va_mean,va_t,tr_pd,va_pd,std,rel,tr_only_rel
r6_orthogonal_alphas,1572,VAR12_FastFlow_H12_SL5,159,0.93,-9.6,-0.35,49,0.71,-53.0,-0.91,0.5824175824175825,0.5444444444444444,False,False,False
r6_orthogonal_alphas,1573,VAR12_FastFlow_H12_SL7,158,0.93,-10.3,-0.32,48,0.72,-46.1,-0.82,0.5787545787545788,0.5333333333333333,False,False,False
r6_orthogonal_alphas,1574,VAR12_FastFlow_H12_SL8,157,1.04,6.0,0.18,48,0.71,-49.2,-0.85,0.575091575091575,0.5333333333333333,False,False,False
r6_orthogonal_alphas,1575,VAR12_FastFlow_H18_SL5,145,0.94,-10.4,-0.31,46,0.76,-52.6,-0.75,0.5311355311355311,0.5111111111111111,False,False,False
r6_orthogonal_alphas,1576,VAR12_FastFlow_H18_SL7,143,0.91,-18.0,-0.46,44,0.96,-7.5,-0.11,0.5238095238095238,0.4888888888888889,False,False,False
r6_orthogonal_alphas,1577,VAR12_FastFlow_H18_SL8,141,1.0,-0.5,-0.01,44,0.92,-15.1,-0.21,0.5164835164835165,0.4888888888888889,False,False,False
r6_orthogonal_alphas,1578,VAR24_VolSpike_H8_SL5,75,0.55,-82.9,-2.12,25,0.61,-89.1,-0.84,0.27472527472527475,0.2777777777777778,False,False,False
r6_orthogonal_alphas,1579,VAR24_VolSpike_H8_SL7,72,0.53,-92.0,-2.09,24,0.45,-155.4,-1.28,0.26373626373626374,0.26666666666666666,False,False,False
r6_orthogonal_alphas,1580,VAR24_VolSpike_H8_SL8,71,0.64,-65.3,-1.48,24,0.4,-184.6,-1.4,0.2600732600732601,0.26666666666666666,False,False,False
r6_orthogonal_alphas,1581,VAR24_VolSpike_H12_SL5,71,0.6,-89.7,-1.9,25,0.54,-129.1,-1.14,0.2600732600732601,0.2777777777777778,False,False,False
r6_orthogonal_alphas,1582,VAR24_VolSpike_H12_SL7,67,0.61,-92.4,-1.7,24,0.41,-184.7,-1.54,0.2454212454212454,0.26666666666666666,False,False,False
r6_orthogonal_alphas,1583,VAR24_VolSpike_H12_SL8,66,0.73,-59.2,-1.09,24,0.37,-218.0,-1.66,0.24175824175824176,0.26666666666666666,False,False,False
r6_orthogonal_alphas,1584,VAR24_VolSpike_H18_SL5,68,0.63,-92.4,-1.81,25,0.66,-97.1,-0.82,0.2490842490842491,0.2777777777777778,False,False,False
r6_orthogonal_alphas,1585,VAR24_VolSpike_H18_SL7,65,0.61,-100.6,-1.76,24,0.47,-195.4,-1.43,0.23809523809523808,0.26666666666666666,False,False,False
r6_orthogonal_alphas,1586,VAR24_VolSpike_H18_SL8,63,0.74,-63.4,-1.09,24,0.42,-241.2,-1.63,0.23076923076923078,0.26666666666666666,False,False,False
r6_orthogonal_alphas,1587,VAR24_Pure_var1587,34,0.48,-64.5,-1.51,14,1.18,24.8,0.3,0.12454212454212454,0.15555555555555556,False,False,False
r6_orthogonal_alphas,1588,VAR24_Pure_var1588,34,0.48,-64.5,-1.51,14,1.18,24.8,0.3,0.12454212454212454,0.15555555555555556,False,False,False
r6_orthogonal_alphas,1589,VAR24_Pure_var1589,34,0.48,-64.5,-1.51,14,1.18,24.8,0.3,0.12454212454212454,0.15555555555555556,False,False,False
r6_orthogonal_alphas,1590,VAR24_Pure_var1590,34,0.48,-64.5,-1.51,14,1.18,24.8,0.3,0.12454212454212454,0.15555555555555556,False,False,False
r6_orthogonal_alphas,1591,VAR24_Pure_var1591,34,0.48,-64.5,-1.51,14,1.18,24.8,0.3,0.12454212454212454,0.15555555555555556,False,False,False
